title,year
Toy Story,1995
Jumanji,1995
Grumpier Old Men,1995
Waiting to Exhale,1995
Father of the Bride Part II,1995
Heat,1995
Sabrina,1995
Tom and Huck,1995
Sudden Death,1995
GoldenEye,1995
The American President,1995
Dracula: Dead and Loving It,1995
Balto,1995
Nixon,1995
Cutthroat Island,1995
Casino,1995
Sense and Sensibility,1995
Four Rooms,1995
Ace Ventura: When Nature Calls,1995
Money Train,1995
Get Shorty,1995
Copycat,1995
Assassins,1995
Powder,1995
Leaving Las Vegas,1995
Othello,1995
Now and Then,1995
Persuasion,1995
The City of Lost Children,1995
Shanghai Triad,1995
Dangerous Minds,1995
Twelve Monkeys,1995
Wings of Courage,1996
Babe,1995
Carrington,1995
Dead Man Walking,1995
Across the Sea of Time,1995
It Takes Two,1995
Clueless,1995
"Cry, the Beloved Country",1995
Richard III,1995
Dead Presidents,1995
Restoration,1995
Mortal Kombat,1995
To Die For,1995
How To Make An American Quilt,1995
Se7en,1995
Pocahontas,1995
When Night Is Falling,1995
The Usual Suspects,1995
Guardian Angel,1994
Mighty Aphrodite,1995
Lamerica,1994
The Big Green,1995
Georgia,1995
Kids of the Round Table,1997
Home for the Holidays,1995
The Postman,1994
The Confessional,1995
The Indian in the Cupboard,1995
Eye for an Eye,1996
Mr. Holland's Opus,1995
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996
Two If by Sea,1996
Bio-Dome,1996
Lawnmower Man 2: Beyond Cyberspace,1996
Two Bits,1995
French Twist,1995
Friday,1995
From Dusk Till Dawn,1996
Fair Game,1995
Kicking and Screaming,1995
Les Miserables,1995
Bed of Roses,1996
Big Bully,1996
Screamers,1995
Nico Icon,1995
The Crossing Guard,1995
The Juror,1996
The White Balloon,1995
Things to Do in Denver When You're Dead,1995
Antonia's Line,1995
Once Upon a Time... When We Were Colored,1996
Last Summer in the Hamptons,1995
Angels and Insects,1995
White Squall,1996
Dunston Checks In,1996
Black Sheep,1996
Nick of Time,1995
The Journey of August King,1995
Mary Reilly,1996
Vampire in Brooklyn,1995
Beautiful Girls,1996
Broken Arrow,1996
A Midwinter's Tale,1995
La Haine,1995
Shopping,1994
Heidi Fleiss: Hollywood Madam,1995
City Hall,1996
Bottle Rocket,1996
Mr. Wrong,1996
Unforgettable,1996
Happy Gilmore,1996
The Bridges of Madison County,1995
Nobody Loves Me,1994
Muppet Treasure Island,1996
Catwalk,1995
Headless Body in Topless Bar,1995
Braveheart,1995
Taxi Driver,1976
Rumble in the Bronx,1995
Before and After,1996
Margaret's Museum,1995
Happiness Is in the Field,1995
Anne Frank Remembered,1995
The Young Poisoner's Handbook,1995
If Lucy Fell,1996
Steal Big Steal Little,1995
Race the Sun,1996
The Boys of St. Vincent,1992
Boomerang,1992
Chungking Express,1994
The Star Maker,1995
Flirting with Disaster,1996
The Neverending Story III: Escape from Fantasia,1994
The Silences of the Palace,1994
Jupiter's Wife,1995
Pie in the Sky,1996
Angela,1995
Frankie Starlight,1995
Jade,1995
Nueba Yol,1995
Sonic Outlaws,1995
Down Periscope,1996
From the Journals of Jean Seberg,1995
Man of the Year,1995
The Neon Bible,1995
Target,1995
Up Close & Personal,1996
The Birdcage,1996
Virgin Mary,1995
The Brothers McMullen,1995
Bad Boys,1995
The Amazing Panda Adventure,1995
The Basketball Diaries,1995
An Awfully Big Adventure,1995
Amateur,1994
Apollo 13,1995
Rob Roy,1995
The Addiction,1995
Batman Forever,1995
Belle de Jour,1967
Beyond Rangoon,1995
Blue in the Face,1995
Canadian Bacon,1995
Casper,1995
Clockers,1995
Congo,1995
Crimson Tide,1995
Crumb,1994
Desperado,1995
Devil in a Blue Dress,1995
Die Hard: With a Vengeance,1995
The Doom Generation,1995
Feast of July,1995
First Knight,1995
Free Willy 2 - The Adventure Home,1995
Hackers,1995
Jeffrey,1995
Johnny Mnemonic,1995
Judge Dredd,1995
Jury Duty,1995
Kids,1995
Living in Oblivion,1995
Lord of Illusions,1995
Love & Human Remains,1993
Mad Love,1995
Mallrats,1995
Mighty Morphin Power Rangers: The Movie,1995
Moonlight and Valentino,1995
Mute Witness,1995
Nadja,1994
The Net,1995
Nine Months,1995
Party Girl,1995
The Prophecy,1995
Reckless,1995
Safe,1995
The Scarlet Letter,1995
The Show,1995
Showgirls,1995
Smoke,1995
Something to Talk About,1995
Species,1995
The Stars Fell on Henrietta,1995
Strange Days,1995
The Umbrellas of Cherbourg,1964
The Tie That Binds,1995
Three Wishes,1995
Total Eclipse,1995
"To Wong Foo, Thanks for Everything! Julie Newmar",1995
Under Siege 2: Dark Territory,1995
Unstrung Heroes,1995
Unzipped,1995
A Walk in the Clouds,1995
Waterworld,1995
White Man's Burden,1995
Wild Bill,1995
The Browning Version,1994
Bushwhacked,1995
Burnt by the Sun,1994
Before the Rain,1994
Before Sunrise,1995
Billy Madison,1995
The Babysitter,1995
Boys on the Side,1995
The Cure,1995
Castle Freak,1995
Circle of Friends,1995
Clerks,1994
Don Juan DeMarco,1994
Disclosure,1994
Dream Man,1995
Drop Zone,1994
Destiny Turns on the Radio,1995
Death and the Maiden,1994
Dolores Claiborne,1995
Dumb and Dumber,1994
Eat Drink Man Woman,1994
Exotica,1994
Exit to Eden,1994
Ed Wood,1994
French Kiss,1995
Forget Paris,1995
Far from Home: The Adventures of Yellow Dog,1995
A Goofy Movie,1995
Hideaway,1995
Fluke,1995
Farinelli,1994
Gordy,1995
Gumby: The Movie,1995
The Glass Shield,1994
Hoop Dreams,1994
Heavenly Creatures,1994
Houseguest,1995
Immortal Beloved,1994
Heavyweights,1995
The Hunted,1995
I.Q.,1994
Interview with the Vampire,1994
Jefferson in Paris,1995
The Jerky Boys,1995
Junior,1994
Just Cause,1995
A Kid in King Arthur's Court,1995
Kiss of Death,1995
Star Wars,1977
Little Women,1994
A Little Princess,1995
Ladybird Ladybird,1994
L'Enfer,1994
Like Water for Chocolate,1992
Legends of the Fall,1994
Major Payne,1995
Little Odessa,1994
Mi Vida Loca,1994
Love Affair,1994
Losing Isaiah,1995
The Madness of King George,1994
Mary Shelley's Frankenstein,1994
Man of the House,1995
Mixed Nuts,1994
Milk Money,1994
Miracle on 34th Street,1994
Miami Rhapsody,1995
My Family,1995
Murder in the First,1995
Nobody's Fool,1994
Nell,1994
New Jersey Drive,1995
New York Cop,1993
Beyond Bedlam,1994
Nemesis 2 - Nebula,1995
Nina Takes a Lover,1995
Natural Born Killers,1994
Only You,1994
Once Were Warriors,1994
Poison Ivy II: Lily,1996
Outbreak,1995
Leon: The Professional,1994
The Perez Family,1995
A Pyromaniac's Love Story,1995
Pulp Fiction,1994
Panther,1995
Pushing Hands,1992
Priest,1994
Quiz Show,1994
Picture Bride,1995
Queen Margot,1994
The Quick and the Dead,1995
Roommates,1995
Prêt-à-Porter,1994
Three Colors: Red,1994
Three Colors: Blue,1993
Three Colors: White,1994
"Red Firecracker, Green Firecracker",1994
Rent-a-Kid,1995
Relative Fear,1995
Stuart Saves His Family,1995
The Swan Princess,1994
The Secret of Roan Inish,1994
The Specialist,1994
Stargate,1994
The Santa Clause,1994
The Shawshank Redemption,1994
Shallow Grave,1994
Suture,1993
Strawberry and Chocolate,1993
Swimming with Sharks,1994
The Sum of Us,1994
Senior Trip,1995
To Live,1994
Tank Girl,1995
Tales from the Crypt: Demon Knight,1995
Star Trek: Generations,1994
Tales from the Hood,1995
Tom & Viv,1994
Village of the Damned,1995
Tommy Boy,1995
Vanya on 42nd Street,1994
The Underneath,1995
The Walking Dead,1995
What's Eating Gilbert Grape,1993
Virtuosity,1995
While You Were Sleeping,1995
The War,1994
Double Happiness,1994
Muriel's Wedding,1994
The Baby-Sitters Club,1995
Ace Ventura: Pet Detective,1994
"The Adventures of Priscilla, Queen of the Desert",1994
Backbeat,1994
Bitter Moon,1992
Bullets Over Broadway,1994
Clear and Present Danger,1994
The Client,1994
"Corrina, Corrina",1994
Crooklyn,1994
The Crow,1994
Cobb,1994
The Flintstones,1994
Forrest Gump,1994
Four Weddings and a Funeral,1994
Higher Learning,1995
I Like It Like That,1994
I Love Trouble,1994
It Could Happen to You,1994
The Jungle Book,1994
"The Wonderful, Horrible Life of Leni Riefenstahl",1993
The Lion King,1994
Little Buddha,1993
New Nightmare,1994
The Mask,1994
Maverick,1994
Mrs. Parker and the Vicious Circle,1994
The Naked Gun 33⅓: The Final Insult,1994
The Paper,1994
Reality Bites,1994
Red Rock West,1993
Ri¢hie Ri¢h,1994
Safe Passage,1994
The River Wild,1994
Speed,1994
Speechless,1994
Timecop,1994
True Lies,1994
When a Man Loves a Woman,1994
Wolf,1994
Wyatt Earp,1994
Bad Company,1995
A Man of No Importance,1994
S.F.W.,1994
A Low Down Dirty Shame,1994
"Boys Life: Three Stories of Love, Lust, and Liberation",1994
Colonel Chabert,1994
"Faster, Pussycat! Kill! Kill!",1965
Jason's Lyric,1994
The Secret Adventures of Tom Thumb,1993
Street Fighter,1994
Coldblooded,1995
Desert Winds,1997
Fall Time,1995
The Fear,1995
Frank and Ollie,1995
Girl in the Cadillac,1995
Homage,1995
Mirage,1995
Open Season,1996
Dos Crímenes,1995
Brother Minister: The Assassination of Malcolm X,1995
Highlander: The Final Dimension,1994
Federal Hill,1995
In the Mouth of Madness,1994
8 Seconds,1994
Above the Rim,1994
Addams Family Values,1993
Martin Lawrence: You So Crazy,1994
The Age of Innocence,1993
Airheads,1994
The Air Up There,1994
Another Stakeout,1993
Bad Girls,1994
Barcelona,1994
Being Human,1994
The Beverly Hillbillies,1993
Beverly Hills Cop III,1994
Black Beauty,1994
Blink,1994
Blown Away,1994
Blue Chips,1994
Blue Sky,1994
Body Snatchers,1993
Boxing Helena,1993
A Bronx Tale,1993
Cabin Boy,1994
Calendar Girl,1993
Carlito's Way,1993
City Slickers II: The Legend of Curly's Gold,1994
Clean Slate,1994
Cliffhanger,1993
Coneheads,1993
Color of Night,1994
Cops & Robbersons,1994
The Cowboy Way,1994
Dangerous Game,1993
Dave,1993
Dazed and Confused,1993
Demolition Man,1993
The Endless Summer 2,1994
Even Cowgirls Get the Blues,1994
Fatal Instinct,1993
Farewell My Concubine,1993
The Favor,1994
Fearless,1993
Fear of a Black Hat,1994
With Honors,1994
Flesh and Bone,1993
Widows' Peak,1994
For Love or Money,1993
The Firm,1993
Free Willy,1993
Fresh,1994
The Fugitive,1993
Geronimo: An American Legend,1993
The Getaway,1994
Getting Even with Dad,1994
Go Fish,1994
A Good Man in Africa,1994
Guilty as Sin,1993
Hard Target,1993
Heaven & Earth,1993
Hot Shots! Part Deux,1993
Live Nude Girls,1995
The Englishman Who Went Up a Hill But Came Down a Mountain,1995
The House of the Spirits,1993
House Party 3,1994
The Hudsucker Proxy,1994
I'll Do Anything,1994
In the Army Now,1994
In the Line of Fire,1993
In the Name of the Father,1993
The Inkwell,1994
What's Love Got to Do with It,1993
Jimmy Hollywood,1994
Judgment Night,1993
Jurassic Park,1993
Kalifornia,1993
Killing Zoe,1993
King of the Hill,1993
Lassie,1994
Last Action Hero,1993
Life With Mikey,1993
Lightning Jack,1994
M. Butterfly,1993
Made in America,1993
Malice,1993
The Man without a Face,1993
Manhattan Murder Mystery,1993
Menace II Society,1993
Executive Decision,1996
In the Realm of the Senses,1976
What Happened Was...,1994
Much Ado About Nothing,1993
Mr. Jones,1993
Mr. Wonderful,1993
Mrs. Doubtfire,1993
Naked,1993
The Next Karate Kid,1994
The New Age,1994
No Escape,1994
North,1994
Orlando,1992
A Perfect World,1993
Philadelphia,1993
The Piano,1993
Poetic Justice,1993
The Program,1993
